student_id,first_name,last_name,gender,email,department_id,cgpa
STU00000,Danielle,Johnson,F,john21@example.net,DEP001,1.97
STU00002,Jesse,Guzman,F,jennifermiles@example.com,DEP001,3.02
STU00003,Jeffrey,Lawrence,F,blakeerik@example.com,DEP002,2.59
STU00004,Matthew,Moore,F,curtis61@example.com,DEP003,3.55
STU00006,Christian,Carter,M,barbara10@example.net,DEP004,1.17
STU00009,Francisco,Kelly,M,jacqueline19@example.net,DEP003,2.49
STU00010,George,Daniel,M,stevennelson@example.net,DEP001,2.44
STU00011,Hailey,Robinson,M,megan03@example.org,DEP003,3.53
STU00012,Linda,Morales,F,clarksherri@example.net,DEP001,2.67
STU00014,Douglas,Taylor,F,julie69@example.com,DEP005,3.12
STU00015,Michael,Osborn,M,williamdavis@example.org,DEP001,3.61
STU00016,Michelle,Hernandez,M,laurahenderson@example.org,DEP001,3.41
STU00018,Erin,Wilson,F,kayla51@example.com,DEP004,3.24
STU00021,Stephanie,Nielsen,F,georgetracy@example.org,DEP001,3.29
STU00022,Sarah,Koch,M,john39@example.org,DEP002,2.14
STU00023,Christopher,Tucker,F,spenceamanda@example.org,DEP004,2.11
STU00024,David,Alvarez,F,josephbrennan@example.com,DEP004,1.17
STU00025,Tamara,Hickman,M,jenniferross@example.net,DEP001,2.66
STU00027,Matthew,Chapman,M,briannasmith@example.net,DEP004,2.37
STU00028,Crystal,Perez,M,heathchad@example.org,DEP003,4.17
STU00029,Joshua,Washington,M,jenniferkhan@example.net,DEP003,2.79
STU00031,Ryan,Henderson,M,dshields@example.net,DEP005,3.97
STU00032,Denise,Lucas,M,powellmatthew@example.org,DEP004,4.6
STU00033,John,Lee,M,ltaylor@example.com,DEP002,3.2
STU00034,Steven,Baxter,M,ramosmichelle@example.net,DEP001,2.85
STU00035,Corey,Pearson,M,novaksara@example.org,DEP002,1.72
STU00037,Nicholas,Galloway,M,sara74@example.com,DEP002,3.74
STU00038,Heather,Cross,M,smoore@example.org,DEP002,2.84
STU00040,Thomas,Calhoun,M,brianromero@example.org,DEP002,3.1
STU00041,Casey,Jones,M,richarddavid@example.net,DEP005,3.63
STU00044,Brandy,Mills,M,james53@example.com,DEP002,1.91
STU00045,Randy,Powers,M,stephen10@example.com,DEP002,2.73
STU00046,Christine,Hart,F,jonesjason@example.com,DEP002,3.85
STU00047,David,Bailey,M,suarezmike@example.org,DEP004,3.57
STU00049,Kevin,Riggs,M,contrerasangela@example.net,DEP002,3.42
STU00050,Dale,Humphrey,M,darrell18@example.org,DEP004,3.32
STU00051,Joseph,Jacobs,M,james48@example.com,DEP005,3.71
STU00053,Brent,Walters,F,bradley52@example.net,DEP004,1.42
STU00054,Tina,Martin,F,barnold@example.net,DEP004,3.34
STU00055,Alec,Jones,M,amydavenport@example.net,DEP003,2.76
STU00056,Angela,Jordan,F,parkerrachel@example.org,DEP005,2.57
STU00057,Rachel,Clark,F,elizabethgomez@example.net,DEP001,2.31
STU00058,Nicole,Russell,M,sarayoung@example.org,DEP001,3.0
STU00059,Theresa,Cochran,M,vjohnson@example.com,DEP005,2.76
STU00062,John,Moore,F,reyesbenjamin@example.com,DEP005,3.02
STU00063,Jeffrey,Velasquez,M,ybailey@example.org,DEP005,3.94
STU00064,Jeffrey,Keller,M,emurphy@example.com,DEP003,3.31
STU00065,Michael,Hicks,F,sheila14@example.org,DEP002,4.07
STU00068,Tracey,Wilson,M,jonathanfletcher@example.org,DEP001,2.19
STU00069,April,Drake,F,michaeljones@example.net,DEP001,2.81
STU00070,Samantha,Hanson,F,cortezkevin@example.com,DEP002,2.19
STU00071,Elizabeth,Nguyen,M,angela36@example.net,DEP005,3.33
STU00072,Shelby,Byrd,M,christinaturner@example.net,DEP005,2.68
STU00073,Martha,Torres,F,russellcarpenter@example.net,DEP001,3.98
STU00075,Gene,Miller,M,clarence34@example.org,DEP003,3.47
STU00076,Lindsay,Hernandez,M,sanchezthomas@example.org,DEP001,3.61
STU00078,Barbara,Higgins,F,psnyder@example.org,DEP003,3.4
STU00081,John,Charles,M,danderson@example.net,DEP004,2.62
STU00083,Logan,Fischer,M,usalazar@example.net,DEP002,2.26
STU00085,Shannon,Walton,F,katie87@example.net,DEP002,3.71
STU00086,John,Gonzales,F,jimmy55@example.net,DEP002,3.12
STU00089,Perry,Carrillo,M,gateskathy@example.com,DEP001,4.22
STU00090,Thomas,Bender,F,karen68@example.net,DEP004,2.24
STU00091,Jessica,Marsh,F,tracynelson@example.com,DEP002,4.05
STU00092,Anthony,Rogers,F,dramsey@example.org,DEP001,3.55
STU00094,Christopher,Patterson,M,qwhite@example.com,DEP001,3.39
STU00095,Mark,Gibson,M,kathleen64@example.com,DEP003,2.62
STU00096,Johnny,Miller,M,currybrett@example.com,DEP004,2.3
STU00097,Jeffrey,Jones,F,websterstefanie@example.org,DEP005,4.01
STU00098,Mary,Howell,M,davidcaldwell@example.net,DEP005,3.08
STU00102,James,Vargas,M,curtisbarton@example.net,DEP001,2.89
STU00103,Caroline,Martinez,M,reedross@example.com,DEP003,2.42
STU00104,Casey,Holland,F,atkinsonlynn@example.org,DEP005,3.51
STU00105,Ryan,Cox,F,bzimmerman@example.org,DEP002,3.52
STU00106,Jessica,Sheppard,M,christina87@example.com,DEP004,2.98
STU00107,Ryan,Simon,M,marcus31@example.com,DEP005,2.99
STU00108,Nicole,Sanchez,M,qhudson@example.com,DEP004,2.02
STU00109,Matthew,Snyder,M,hunter35@example.com,DEP002,3.38
STU00111,John,Russell,M,hannahbrewer@example.com,DEP002,2.17
STU00113,Bonnie,Kennedy,F,ronald85@example.com,DEP001,3.17
STU00114,Jacqueline,Nelson,F,jerry35@example.org,DEP005,3.37
STU00115,Julia,Tapia,F,jamesrodgers@example.com,DEP002,4.02
STU00118,Kelly,Raymond,M,agarcia@example.net,DEP001,1.79
STU00120,Danny,Jones,M,ojones@example.net,DEP004,2.15
STU00121,Brian,Hernandez,M,christopher31@example.net,DEP005,2.27
STU00122,Kathy,Obrien,F,kimberlyjames@example.com,DEP004,1.89
STU00124,Chelsea,Singh,F,colleenbaker@example.org,DEP003,1.97
STU00125,Eric,Thompson,F,moorericky@example.net,DEP003,3.41
STU00126,Brittney,Carter,M,keithcampbell@example.com,DEP002,3.13
STU00128,Danny,Walker,F,rebekahserrano@example.org,DEP004,2.59
STU00129,Brian,Sparks,F,scott74@example.net,DEP005,3.24
STU00131,Amber,Kim,M,prestonjessica@example.net,DEP004,3.05
STU00132,John,Davis,F,keyemily@example.com,DEP005,3.46
STU00133,Barbara,Hines,F,thomaspearson@example.com,DEP004,1.58
STU00136,Elizabeth,Hodge,F,robert74@example.net,DEP005,3.69
STU00137,Sierra,Cervantes,M,gibsonleonard@example.com,DEP001,3.12
STU00139,Brian,Stone,M,wgarrett@example.org,DEP003,3.49
STU00140,James,Dunn,M,samuel71@example.org,DEP004,2.7
STU00141,Teresa,Lynch,F,jennifercollins@example.org,DEP001,4.69
STU00143,Victoria,Durham,F,pvalentine@example.org,DEP001,3.55
STU00144,Tyrone,Moran,M,robert77@example.org,DEP002,3.52
STU00145,Stephen,Thomas,F,sandraromero@example.org,DEP001,2.17
STU00146,Michelle,Hill,M,ymorgan@example.net,DEP004,2.63
STU00147,Joseph,Smith,F,mary97@example.org,DEP001,1.87
STU00148,Sean,Washington,F,andrea86@example.com,DEP001,1.58
STU00149,Sarah,Kane,M,ashleyhall@example.com,DEP004,2.24
STU00150,Bradley,Garner,F,qhughes@example.net,DEP002,3.95
STU00153,Jennifer,Ortiz,M,charlesharrington@example.com,DEP004,2.13
STU00155,Norman,Stewart,F,cbrennan@example.net,DEP001,2.91
STU00156,Casey,Welch,F,wendy16@example.org,DEP004,2.8
STU00158,Brandon,Flynn,M,michael62@example.org,DEP005,3.12
STU00160,Christine,Allen,F,jesselittle@example.com,DEP001,2.86
STU00161,Jonathan,Smith,F,rsantana@example.net,DEP004,3.75
STU00163,Michael,Matthews,M,dvaughn@example.com,DEP005,3.44
STU00165,Michael,Phillips,M,andrew64@example.org,DEP004,3.11
STU00166,Ashlee,Jennings,F,lozanojulie@example.com,DEP002,2.63
STU00167,Kimberly,Hall,F,jeffery39@example.com,DEP001,2.06
STU00168,Erica,Le,M,courtneyberger@example.net,DEP004,2.79
STU00169,Benjamin,Kramer,M,rileyjessica@example.org,DEP005,2.44
STU00170,Renee,Murphy,M,ithompson@example.net,DEP005,2.47
STU00171,Nancy,Diaz,M,maria47@example.com,DEP002,3.95
STU00172,Julie,Morgan,M,mcdonaldcharles@example.org,DEP003,3.63
STU00175,Emily,Chambers,M,xcarson@example.org,DEP002,2.87
STU00176,Emily,Ruiz,M,rose31@example.net,DEP002,2.65
STU00177,Madison,Blankenship,F,debra12@example.org,DEP001,4.04
STU00178,Sophia,Torres,M,pwilson@example.net,DEP002,2.24
STU00179,Derek,Chavez,M,umatthews@example.org,DEP005,2.11
STU00180,Nicole,Pena,M,rgilbert@example.org,DEP004,2.02
STU00181,Hannah,Robinson,M,xsampson@example.org,DEP004,4.53
STU00182,Tina,Richardson,M,bruce43@example.org,DEP004,2.08
STU00184,Christopher,Lewis,M,williamsmatthew@example.org,DEP001,3.35
STU00185,Kristin,Harris,F,brendali@example.org,DEP005,2.99
STU00186,Mark,Hernandez,F,ramireztracey@example.org,DEP004,2.28
STU00187,Amber,Lindsey,M,guerreroanthony@example.org,DEP003,3.23
STU00188,Michael,Kramer,M,alfred40@example.org,DEP005,3.31
STU00189,Judy,Fox,F,alvarezkimberly@example.net,DEP003,2.92
STU00191,Adrienne,Ellis,M,browntimothy@example.com,DEP005,3.25
STU00192,Ronald,Rodriguez,F,fjones@example.com,DEP002,2.86
STU00194,Joshua,Schultz,M,oscar98@example.com,DEP005,2.14
STU00195,Shawn,Jacobs,F,mcguiredanny@example.net,DEP002,1.62
STU00197,Matthew,Chavez,F,ublair@example.com,DEP005,2.76
STU00199,Marie,Davis,M,garnernathan@example.org,DEP003,3.29
STU00200,Angela,Willis,M,elizabeth65@example.net,DEP004,3.17
STU00201,Shelley,Henderson,F,schmittcaroline@example.com,DEP005,3.1
STU00203,Eric,Olson,M,bellangela@example.org,DEP001,2.68
STU00205,Christina,Day,F,lynchdiane@example.net,DEP004,3.29
STU00206,Joseph,White,M,sandra50@example.org,DEP005,1.82
STU00207,Molly,Knight,M,vjones@example.net,DEP004,3.5
STU00208,Teresa,Davis,M,nicholaschavez@example.org,DEP001,3.39
STU00211,Scott,Coleman,F,nperry@example.net,DEP001,3.57
STU00213,Elizabeth,Williams,M,djoyce@example.org,DEP004,3.23
STU00215,Adrian,Burgess,M,davidpatel@example.org,DEP004,3.85
STU00217,Linda,Jones,M,grahamsteve@example.org,DEP005,1.95
STU00218,Michelle,Johnston,F,amckinney@example.com,DEP001,2.66
STU00219,Darius,Smith,F,george97@example.net,DEP003,3.08
STU00220,Samantha,Davis,M,sanchezbrianna@example.net,DEP004,4.0
STU00221,Christian,Harrell,F,jeffrey21@example.net,DEP002,1.31
STU00222,Cynthia,Schmidt,F,rebeccabailey@example.net,DEP005,1.56
STU00223,Susan,Brewer,M,joelthomas@example.org,DEP004,2.93
STU00224,Glenn,Hernandez,M,thompsonkendra@example.com,DEP005,2.99
STU00226,Cynthia,Weber,M,edward17@example.com,DEP004,3.5
STU00227,Crystal,Hogan,F,bellcharles@example.com,DEP005,2.43
STU00228,Shannon,Brown,M,chase19@example.net,DEP003,4.34
STU00229,William,Ford,F,colelisa@example.net,DEP002,1.56
STU00231,Walter,Rosario,F,vgarcia@example.net,DEP002,1.77
STU00232,Christopher,Lucas,F,wrightsamuel@example.com,DEP002,2.07
STU00233,Alexandria,Bishop,M,nathan46@example.com,DEP004,2.99
STU00234,Kim,Shelton,M,mccormickdeborah@example.org,DEP004,3.39
STU00236,Tamara,Morrison,F,mathewaguilar@example.org,DEP003,2.43
STU00239,Ellen,Romero,F,coxhenry@example.org,DEP001,2.72
STU00241,James,Cooke,F,chrisrichard@example.org,DEP001,2.98
